spec	hb	fio2	po2	ph	pco2	hco3
horse	14,9	60	205	7,28	50	20,8
horse	16,4	70	226	7,29	50	22,3
horse	16,7	60	246	7,38	44	23,6
horse	17,1	60	172	7,34	47	23,2
horse	11,2	50	105	7,43	49	29,7
horse	9,4	50	108	7,43	51	30,9
horse	12,5	50	75	7,44	45	27,9
horse	10,5	50	106	7,44	45	27,9
horse	10,2	80	180	7,47	41	27,2
dog	9		309	7,31	37	18,1
dog	6,3333333333		377	7,22	33	13
dog	7		66	7,39	33	19,5
horse	8,3333333333		80	7,43	42	27,4
horse	9,6666666667		89	7,39	49	29
dog	13		444	7,24	53	21,9
	13,6666666667		262	7,27	46	20,4
	14		281	7,19	44	16,2
	14		269	7,08	68	19,3
horse	10,3333333333		154	7,43	45	29,3
horse	13,3333333333		139	7,38	50	28,9
horse	12,6666666667		188	7,39	53	31,4
horse	12		209	7,39	52	30,8
horse	11,6666666667		210	7,4	50	30,3
horse	11,6666666667		160	7,37	53	29,9
horse	13,3333333333		160	7,4	49	29,7
	13		262	7,28	48	21,8
	9,6666666667		534	7,32	39	19,5
	5		381	7,21	39	15
horse	12		143	7,36	66	36,4
horse	14,6666666667		486	7,42	42	26,7
horse	16,3333333333		103	7,45	27	18,5
			197	7,57	23	21,1
horse	12,3333333333		220	7,36	51	28,1
horse	12		213	7,37	49	27,7
horse	11,3333333333		327	7,41	47	29,2
horse	14		379	7,42	44	28
horse	6,6666666667		327	7,45	42	28,8
horse	11,6666666667		70	7,39	34	20,1
dog	15		81	7,41	45	28
dog		21	92	7,39	33	19,5
		21	28	7,35	38	20,4
horse		100	121	7,2	72	27,1
horse		100	123	7,2	80	30,1
dog		100	465	7,1	80	23,7
dog		100	223	7,3	50	23,9
horse		100	156	7,32	68	34
horse		100	147	7,38	55	31,8
horse		90	359	7,34	53	27,8
horse		95	357	7,43	41	26,7
dog		21	106	7,39	38	22,5
horse		98	337	7,37	46	26
horse		97	196	7,32	49	24,5
horse		97	222	7,34	56	29,4
dog		21	191	7,34	43	22,6
dog		21	105	7,4	30	18,2
dog		21	113	7,26	22	9,5
dog		21	136	7,39	16	9,5
dog		76	131	7,05	64	16,9
dog		76	203	7,24	34	14,1
dog		21	55	7,31	28	13,7
dog		21	120	7,39	22	13
dog		95	157	7,25	35	14,8
dog		21	96	7,41	19	11,8
dog		21	38	7,4	35	21,2
dog		21	76	7,41	19	11,8
dog		21	67	7,44	23	15,4
dog		51	369	7,37	31	17,5
dog		21	45	7,28	30	13,6
horse		21	123	7,41	43	26,7
dog		95	329	7,27	50	22,2
dog		95	385	7,24	62	25,6
